game_key,game_no,date,stage,team_org,team,opponent,bib,player,position,starter,minutes,points,fgm,fga,two_m,two_a,three_m,three_a,ftm,fta,orb,drb,reb,assists,turnovers,steals,blocks,fouls,plus_minus
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,1,GIRGOORIAN Piter,SF,否,2:38,10,2,11,1,4,1,7,5,8,2,2,4,1,1,0,0,2,-6
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,4,SHARIFI Alireza,PF,否,6:01,0,0,2,0,2,0,0,0,0,0,1,1,0,0,1,0,0,-8
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,5,SHEIKHI Mobin,PG,是,26:40,6,2,9,0,0,2,9,0,0,0,0,0,3,2,0,0,3,-8
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,7,REZAEIFAR Navid,G,否,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,9,ALIAKBARINAMGHI Khashayar,G,否,2:58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-5
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,11,HEYDARI Mohammad,SF,否,28:01,7,3,7,2,3,1,4,0,0,0,2,2,3,3,2,1,2,2
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,12,ZANGANEH Arman,PF,否,25:56,5,2,4,1,2,1,2,0,0,0,7,7,3,0,2,0,3,1
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,13,JAMSHIDIJAFARABADI Mohammad,SG,否,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,14,KAZEMI Arsalan,SF,是,32:53,5,2,5,1,2,1,3,0,2,3,4,7,1,1,2,1,3,4
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,17,AGHAJANPOUR Matin,PF,是,32:21,15,3,12,0,2,3,10,6,10,0,1,1,0,3,3,0,2,0
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,51,MONJI Salar,C,是,13:00,3,1,2,1,2,0,0,1,2,0,3,3,0,1,1,1,0,-5
M.TEAM5-------------.GPB-.000100--,1,2026-09-10,小组赛,IRI,伊朗,Qatar,55,JAFARI Mahdi,C,是,11:50,2,0,3,0,2,0,1,2,2,1,3,4,1,4,1,0,2,-5
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,1,LEE Hyunjung,F,是,25:00,23,8,15,6,7,2,8,5,6,1,3,4,3,2,3,0,3,25
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,2,CHOI Junyong,PF,否,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,5,BYEON Junhyeong,G,是,13:22,5,2,5,2,3,0,2,1,1,0,4,4,4,1,0,0,0,3
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,6,LEE Junghyun,G,是,32:10,6,1,12,0,1,1,11,3,4,1,6,7,4,0,1,1,5,10
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,7,YU Kisang,F,否,14:24,6,2,8,0,1,2,7,0,0,0,5,5,2,1,0,0,1,-6
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,11,LEE Woosuk,F,否,32:33,18,4,10,2,3,2,7,8,9,2,4,6,2,1,0,0,1,14
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,12,MOON Jeonghyeon,F,否,6:59,0,0,2,0,1,0,1,0,0,3,2,5,2,2,1,0,3,9
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,22,YEO Jun Seok,F,是,11:14,9,4,7,4,6,0,1,1,1,0,1,1,1,0,0,0,3,8
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,24,MOON Yuhyeon,PG,否,7:55,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,2,6
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,31,JANG Jaeseok,C,否,12:12,2,1,1,1,1,0,0,0,0,0,4,4,2,1,1,0,1,14
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,33,LEE Seounghyun,C,是,27:48,13,6,10,6,9,0,1,1,2,0,6,6,2,1,0,0,2,2
M.TEAM5-------------.GPA-.000100--,3,2026-09-10,小组赛,KOR,韩国,Saudi Arabia,36,EDI Daniel,C,否,2:00,0,0,2,0,2,0,0,0,0,1,1,2,0,1,0,0,2,-5
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,3,KUROKAWA Kotetsu,G,否,17:24,4,2,7,2,2,0,5,0,0,0,5,5,10,4,1,0,1,30
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,5,HARPER JR John,PG,否,5:07,3,1,4,1,2,0,2,1,2,1,2,3,4,1,0,0,2,15
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,13,KANECHIKA Ren,SF,是,15:12,15,5,10,1,1,4,9,1,2,0,1,1,1,0,0,1,0,16
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,14,KANO Toyoshige,C,否,4:23,8,3,6,3,6,0,0,2,3,2,3,5,0,3,1,1,2,23
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,20,YAMAZAKI Ibu,F,否,12:55,12,4,10,0,2,4,8,0,0,2,3,5,0,0,3,1,4,24
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,25,KAWASHIMA Yuto,PF,是,25:05,11,3,9,2,6,1,3,4,4,3,6,9,2,1,1,1,2,27
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,28,TSUYA Kazuma,G,否,16:46,23,8,10,1,1,7,9,0,0,0,1,1,1,0,1,0,3,18
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,31,OGAWA Atsuya,G,是,16:30,4,1,6,1,5,0,1,2,2,0,3,3,3,1,1,0,3,18
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,32,SCHAFER Avi,C,否,6:43,2,1,2,1,2,0,0,0,0,0,1,1,1,0,0,0,0,7
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,45,YAMAUCHI Jaheru,F,否,9:10,8,2,2,0,0,2,2,2,2,3,0,3,1,0,1,0,1,20
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,53,KIRK Alex,C,是,12:26,8,4,4,4,4,0,0,0,0,4,4,8,2,1,0,2,2,15
M.TEAM5-------------.GPA-.000200--,4,2026-09-10,小组赛,JPN,日本,Indonesia,64,TAKASHIMA Shinji,F,是,11:31,0,0,2,0,1,0,1,0,0,0,3,3,1,0,0,0,1,12
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,3,HU Mingxuan,G,否,9:40,3,1,3,0,1,1,2,0,0,0,1,1,1,0,0,0,0,7
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,5,LIAO Sanning,G,是,27:03,10,4,7,4,7,0,0,2,2,0,2,2,9,2,1,0,0,34
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,9,PANG Zhenglin,PG,是,28:29,17,7,15,6,9,1,6,2,2,0,0,0,4,1,1,0,2,21
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,10,WANG Junjie,PF,否,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,11,YU Jiahao,C,否,17:34,17,5,7,5,7,0,0,7,10,1,5,6,2,1,1,1,0,33
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,14,LI Hongquan,F,是,28:04,16,7,9,5,5,2,4,0,1,1,8,9,3,3,1,1,2,23
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,16,JIAO Boqiao,C,否,12:01,10,5,9,5,8,0,1,0,0,3,2,5,0,2,0,0,1,5
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,17,ZHAO Jiayi,F,否,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,21,HU Jinqiu,C,是,10:10,5,2,4,2,4,0,0,1,2,1,2,3,0,2,0,0,2,0
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,24,CUI Yongxi,F,否,18:08,12,4,6,2,3,2,3,2,2,2,1,3,0,1,0,1,1,19
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,26,ZHU Junlong,G,是,20:51,0,0,1,0,1,0,0,0,0,2,2,4,0,0,2,0,1,21
M.TEAM5-------------.GPC-.000100--,5,2026-09-11,小组赛,CHN,中国,Kazakhstan,32,LI Yuezhou,SG,否,25:39,9,4,7,4,5,0,2,1,2,0,3,3,2,2,2,2,2,27
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,1,LEE Hyunjung,F,是,18:17,24,8,15,4,8,4,7,4,5,4,6,10,3,0,1,0,2,19
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,2,CHOI Junyong,PF,否,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,5,BYEON Junhyeong,G,是,16:04,5,1,2,0,0,1,2,2,2,0,1,1,3,2,0,0,1,19
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,6,LEE Junghyun,G,是,21:22,4,2,4,2,3,0,1,0,0,0,0,0,3,2,2,0,1,22
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,7,YU Kisang,F,否,21:34,21,7,12,0,0,7,12,0,0,0,5,5,1,0,2,0,2,35
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,11,LEE Woosuk,F,否,21:40,14,4,9,1,4,3,5,3,4,0,2,2,3,0,2,0,0,18
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,12,MOON Jeonghyeon,F,是,18:41,0,0,1,0,0,0,1,0,0,0,2,2,4,1,2,1,4,35
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,22,YEO Jun Seok,F,否,00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,24,MOON Yuhyeon,PG,否,14:06,10,5,6,5,6,0,0,0,0,0,3,3,8,1,1,0,2,26
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,31,JANG Jaeseok,C,否,15:49,8,4,8,4,8,0,0,0,2,4,2,6,2,2,0,1,2,10
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,33,LEE Seounghyun,C,是,25:47,8,4,5,4,5,0,0,0,0,0,3,3,0,0,0,0,3,47
M.TEAM5-------------.GPA-.000300--,7,2026-09-11,小组赛,KOR,韩国,Indonesia,36,EDI Daniel,C,否,26:36,8,4,7,4,7,0,0,0,0,3,5,8,4,1,3,0,1,39
M.TEAM5-------------.GPA-.000400--,8,2026-09-11,小组赛,JPN,日本,Saudi Arabia,3,KUROKAWA Kotetsu,G,否,22:59,5,1,8,1,5,0,3,3,3,1,0,1,8,0,2,0,2,9
M.TEAM5-------------.GPA-.000400--,8,2026-09-11,小组赛,JPN,日本,Saudi Arabia,5,HARPER JR John,PG,否,17:37,6,2,4,0,0,2,4,0,0,0,2,2,2,3,1,0,3,12
